iter	RMSE
0	0.9235824836
1	0.8983987149
2	0.8759253726
3	0.8574305882
4	0.8407728531
5	0.8221427447
6	0.8075110547
7	0.7959418218
8	0.7841055332
9	0.7745690357
10	0.7643034363
11	0.7544785308
12	0.7456924081
13	0.7372953969
14	0.7314030878
15	0.7238634997
16	0.7183111839
17	0.7130436656
18	0.7070753744
19	0.7038058809
20	0.6994222725
21	0.6965496071
22	0.6941535782
23	0.690662224
24	0.6876659296
25	0.684829624
26	0.6815606076
27	0.6787017079
28	0.6751803278
29	0.6729707755
30	0.670043273
31	0.6674292097
32	0.6649381492
33	0.6629541568
34	0.6609600445
35	0.6585458538
36	0.6571961129
37	0.655762294
38	0.6542602536
39	0.6532024106
40	0.651713217
41	0.6505780948
42	0.6492288099
43	0.6480117266
44	0.646203008
45	0.6446629494
46	0.6436924464
47	0.6422064095
48	0.6408410717
49	0.6399582874
50	0.638800264
51	0.637852332
52	0.6363670768
53	0.6351603874
54	0.6339501342
55	0.6328741749
56	0.6320323522
57	0.6309362275
58	0.6301459058
59	0.6291780142
60	0.6282856221
61	0.6275632365
62	0.627040722
63	0.6257959453
64	0.6244709443
65	0.6235963689
66	0.6231158304
67	0.6225781301
68	0.6214780407
69	0.6209627572
70	0.6203675549
71	0.6194894423
72	0.6185008362
73	0.6178891613
74	0.6171932164
75	0.6169191856
76	0.6163465415
77	0.6158342317
78	0.6146487863
79	0.6142912485
80	0.6134845953
81	0.6127712571
82	0.6122880223
83	0.6114912444
84	0.6110544282
85	0.6106267139
86	0.6102034357
87	0.6097015092
88	0.6089517179
89	0.6081900801
90	0.6074775666
91	0.6072520141
92	0.6065357409
93	0.6055035835
94	0.6050329338
95	0.604473515
96	0.6037162929
97	0.60267494
98	0.6021116895
99	0.6010970136
100	0.6006664579
101	0.5998812067
102	0.599370978
103	0.5982912523
104	0.5975840826
105	0.597144307
106	0.5964805498
107	0.5959424356
108	0.5951663661
109	0.5944463659
110	0.5935230969
111	0.5930374952
112	0.5923458454
113	0.5918859022
114	0.5912533417
115	0.590322917
116	0.5897535233
117	0.5890277449
118	0.5882562264
119	0.5876847489
120	0.5870519237
121	0.5867449037
122	0.5861804777
123	0.5849029438
124	0.5844624438
125	0.5839640498
126	0.5838768234
127	0.5834271776
128	0.5826824368
129	0.581822245
130	0.5815560846
131	0.5811788142
132	0.5808633117
133	0.5803419506
134	0.5799938782
135	0.5794238003
136	0.5789079281
137	0.5784145749
138	0.5780012473
139	0.5776520262
140	0.577325874
141	0.5768618894
142	0.5768211859
143	0.5765000399
144	0.5761461712
145	0.5756402682
146	0.5750929881
147	0.5749136451
148	0.5745318021
149	0.5738849698
150	0.5733408552
151	0.5732999376
152	0.5729834056
153	0.5722328969
154	0.5718439149
155	0.5716645614
156	0.571186521
157	0.5710572073
158	0.570504601
159	0.5701203586
160	0.5691809569
161	0.5689064788
162	0.568489142
163	0.5682043059
164	0.5679518265
165	0.5678550248
166	0.5673472529
167	0.5670327327
168	0.56662882
169	0.5661428319
170	0.5656614248
171	0.5652022769
172	0.5645891305
173	0.5644440784
174	0.5639111559
175	0.5635733015
176	0.5632317059
177	0.5625136597
178	0.562190355
179	0.5610519852
180	0.560387134
181	0.559871589
182	0.5597153724
183	0.5595957746
184	0.5586218875
185	0.5581627563
186	0.5575394593
187	0.5570401329
188	0.5567177682
189	0.5560886235
190	0.5554983812
191	0.5550938226
192	0.5549406335
193	0.5545525097
194	0.5544222541
195	0.5539331802
196	0.5534816232
197	0.5530367836
198	0.5524245831
199	0.5522837897
200	0.5522583634
201	0.5513212775
202	0.5509713469
203	0.5507975516
204	0.550409952
205	0.5501469026
206	0.5495255322
207	0.548886518
208	0.5482750393
209	0.5479042896
210	0.5472275546
211	0.5470598415
212	0.5462630841
213	0.5457452849
214	0.545442441
215	0.5454165865
216	0.5452214118
217	0.5447572103
218	0.5447109814
219	0.5441926897
220	0.5439736655
221	0.5437774636
222	0.5437533376
223	0.5437156428
224	0.5435134725
225	0.5433704683
226	0.5430769002
227	0.5427110572
228	0.5424206555
229	0.5420110562
230	0.5417911547
231	0.541432594
232	0.541105685
233	0.54100507
234	0.5406869391
235	0.5402128883
236	0.5401397342
237	0.5397879196
238	0.5394268235
239	0.5390559269
240	0.5388406186
241	0.5387536103
242	0.5384343737
243	0.5380436769
244	0.537933505
245	0.5375357601
246	0.5371151132
247	0.5368946247
248	0.5364298106
249	0.5361175012
250	0.5352836338
251	0.5347850293
252	0.5346624639
253	0.5343953442
254	0.5343060442
255	0.5339398974
256	0.5333399571
257	0.5328112613
258	0.5322872486
259	0.5321470439
260	0.5318861523
261	0.531595607
262	0.5312824421
263	0.5311356895
264	0.5305290847
265	0.5300320622
266	0.529997172
267	0.5294140652
268	0.5293830786
269	0.5293028941
270	0.5292296479
271	0.5290874992
272	0.528142642
273	0.5276908662
274	0.52750306
275	0.5269608981
276	0.5267865598
277	0.5264320873
278	0.5262437437
279	0.5260791514
280	0.5258100273
281	0.5252758751
282	0.5250184848
283	0.5247864149
284	0.5246785942
285	0.5243992681
286	0.5243072878
287	0.5241230358
288	0.5239440177
289	0.5237187816
290	0.5235224142
291	0.5234118178
292	0.5229458535
293	0.5225008512
294	0.5222155217
295	0.5217077494
296	0.5213549913
297	0.5211206258
298	0.5210919138
299	0.5208125873
300	0.5206038638
301	0.5201884712
302	0.5201252481
303	0.5200494627
304	0.5197599815
305	0.5194398863
306	0.5187920397
307	0.5186105801
308	0.5182587819
309	0.5180368585
310	0.5178546683
311	0.5175769209
312	0.5175321788
313	0.5173301869
314	0.5168056141
315	0.5164988115
316	0.5160077412
317	0.5151074676
318	0.514839346
319	0.5145072978
320	0.5142733475
321	0.514185743
322	0.5139562264
323	0.5137161346
324	0.5132983388
325	0.5129801261
326	0.5127990427
327	0.5124710973
328	0.5121901805
329	0.5117905981
330	0.5117445812
331	0.5114756261
332	0.5111417404
333	0.5108653958
334	0.5106077062
335	0.5101997475
336	0.5100781823
337	0.5100269128
338	0.5098681198
339	0.5092119892
340	0.5089635302
341	0.5089269162
342	0.5089092499
343	0.5086133227
344	0.5083670886
345	0.5077665456
346	0.5073445606
347	0.5070865976
348	0.5068095676
349	0.5063228714
350	0.5059637638
351	0.5057073734
352	0.5055898675
353	0.5046635639
354	0.5045403958
355	0.5042352788
356	0.50411137
357	0.5039114006
358	0.5036162154
359	0.5032892773
360	0.50310684
361	0.5028366198
362	0.5024555188
363	0.5021015512
364	0.5017248534
365	0.5012818089
366	0.5011234763
367	0.5009873609
368	0.5004242774
369	0.5003445802
370	0.4998540006
371	0.4997050722
372	0.4992699944
373	0.4989782927
374	0.4987734667
375	0.4986197481
376	0.4983663741
377	0.4982787373
378	0.4981272341
379	0.4977969946
380	0.4975798379
381	0.4971388331
382	0.4966969175
383	0.4963700483
384	0.4958950547
385	0.4957119178
386	0.4953160051
387	0.494683031
388	0.4942870596
389	0.4940782823
390	0.4939113455
391	0.4937098972
392	0.4930976479
393	0.4930656128
394	0.4926023468
395	0.4924302226
396	0.4922593974
397	0.4922021185
398	0.4920585128
399	0.4919336711
400	0.4918868536
401	0.4917304626
402	0.4916747412
403	0.4915583755
404	0.4914698301
405	0.4911198408
406	0.491008326
407	0.4909023708
408	0.490536347
409	0.4901838304
410	0.4897166547
411	0.4896156564
412	0.4894304796
413	0.4892078357
414	0.4889189301
415	0.4885472747
416	0.4883371214
417	0.4882048664
418	0.4877229208
419	0.4875317063
420	0.4871879546
421	0.4869585153
422	0.4869100168
423	0.4868197741
424	0.4866649654
425	0.4864745176
426	0.4863084344
427	0.4860724951
428	0.4860248673
429	0.4858544345
430	0.4858082965
431	0.4854783512
432	0.4849073627
433	0.4848297067
434	0.4846462279
435	0.4844437867
436	0.484369062
437	0.4841924078
438	0.4840648197
439	0.4838979435
440	0.4838530776
441	0.4837951861
442	0.4836067491
443	0.4831686031
444	0.4828141732
445	0.4826417935
446	0.4825233971
447	0.4824813399
448	0.4823255263
449	0.4821738436
450	0.4819938902
451	0.4819687848
452	0.4816057639
453	0.4814605516
454	0.4813727865
455	0.4812696102
456	0.4810549619
457	0.4809972029
458	0.4808505194
459	0.4806240884
460	0.4804728127
461	0.4802959323
462	0.4800202357
463	0.479857167
464	0.4794241655
465	0.4792164812
466	0.4790113889
467	0.47887628
468	0.4785703345
469	0.4785279569
470	0.4783467032
471	0.4776738547
472	0.4773661425
473	0.4768812832
474	0.4764399212
475	0.4761300005
476	0.4760529137
477	0.4758154874
478	0.4756986734
479	0.4756085893
480	0.4755097284
481	0.4753354695
482	0.4750717169
483	0.4748904807
484	0.4747135767
485	0.4742797671
486	0.4742333154
487	0.4738299248
488	0.473739022
489	0.4736102797
490	0.4735795631
491	0.4732458928
492	0.4726868247
493	0.472584789
494	0.4724288567
495	0.4720456393
496	0.4720160372
497	0.4719082244
498	0.471781146
499	0.4716693475
500	0.4716190262
501	0.4712772426
502	0.4712109784
503	0.470950912
504	0.4707967406
505	0.4704336509
506	0.4702277579
507	0.4699903198
508	0.4699467542
509	0.4696910669
510	0.469486348
511	0.4690466585
512	0.4688494529
513	0.4687564594
514	0.4685881615
515	0.4684475435
516	0.468375637
517	0.4682168499
518	0.4681079601
519	0.4679422733
520	0.4678364371
521	0.4677590524
522	0.4674061967
523	0.4673418475
524	0.467071748
525	0.4669553642
526	0.466797082
527	0.4666731084
528	0.4664680678
529	0.4663990639
530	0.4662166994
531	0.4658273799
532	0.4656508618
533	0.4655436089
534	0.4654560673
535	0.4651792621
536	0.4649262408
537	0.4647899567
538	0.4646645307
539	0.464655095
540	0.4646233468
541	0.4644543402
542	0.4644279081
543	0.4643078263
544	0.4642795961
545	0.4640370186
546	0.4638562361
547	0.4637958799
548	0.4635757838
549	0.4633749522
550	0.4633565795
551	0.4631486506
552	0.4628462784
553	0.4628020396
554	0.4623395179
555	0.4622261347
556	0.4621005019
557	0.4619933699
558	0.4618084727
559	0.4617070494
560	0.4616721414
561	0.4616525409
562	0.461261346
563	0.4612565401
564	0.4608420969
565	0.4606239008
566	0.460443447
567	0.4601612826
568	0.4598692436
569	0.4598221923
570	0.4594647521
571	0.4593290499
572	0.4592379837
573	0.459072866
574	0.4588294662
575	0.4586366175
576	0.4584631061
577	0.458062644
578	0.4578150075
579	0.4575947448
580	0.4574216763
581	0.4573863038
582	0.4572969138
583	0.4570462009
584	0.4568799364
585	0.4568736101
586	0.4567481107
587	0.4563475804
588	0.456290796
589	0.4560616786
590	0.4557427067
591	0.4553181481
592	0.4551751171
593	0.4550732192
594	0.4550074476
595	0.4548867749
596	0.4544662801
597	0.4544023084
598	0.4542848001
599	0.4541291967
600	0.4540927304
601	0.4540194943
602	0.4538320119
603	0.4537275233
604	0.4532505277
605	0.4530370995
606	0.4528176563
607	0.4527136183
608	0.4526225058
609	0.452573543
610	0.4524446291
611	0.4522220755
612	0.4520436746
613	0.4518474474
614	0.4516590146
615	0.4516306631
616	0.4512497242
617	0.4512275902
618	0.4508294811
619	0.4506410257
620	0.4505968789
621	0.4505350396
622	0.4503448531
623	0.4502415757
624	0.4501834149
625	0.4498522222
626	0.4496337122
627	0.4495693337
628	0.4493906667
629	0.4492553942
630	0.4490387921
631	0.4490202845
632	0.4487616061
633	0.4484803763
634	0.448450087
635	0.4484248278
636	0.4483379822
637	0.4482262167
638	0.4481248525
639	0.4480246943
640	0.4479426186
641	0.447566374
642	0.4474376518
643	0.4473184228
644	0.4472177564
645	0.4470623271
646	0.4470592881
647	0.446872631
648	0.4466759848
649	0.4464663678
650	0.4462558849
651	0.4461408044
652	0.446101909
653	0.446039023
654	0.4459631877
655	0.4458669804
656	0.4457009732
657	0.4456869618
658	0.4452554786
659	0.4450681513
660	0.4449727172
661	0.4444336548
662	0.4442890635
663	0.4440817035
664	0.4438947538
665	0.4436135949
666	0.4434973235
667	0.4434197499
668	0.4433533629
669	0.4433418756
670	0.4433307982
671	0.443250803
672	0.4430477407
673	0.4429181428
674	0.4427572808
675	0.442716096
676	0.4426638672
677	0.4425194077
678	0.4423625418
679	0.4423586262
680	0.4421795521
681	0.4421709949
682	0.4420750666
683	0.4420431109
684	0.4417736079
685	0.4416308993
686	0.4411765164
687	0.4409325285
688	0.4408040889
689	0.4406873129
690	0.4405730735
691	0.4404725705
692	0.4402993507
693	0.440060048
694	0.4397749239
695	0.439494443
696	0.439425289
697	0.4394003401
698	0.4391043651
699	0.4389182279
