iter	Passed	Remaining
0	64	6377
1	68	3376
2	73	2391
3	76	1846
4	80	1527
5	83	1308
6	86	1151
7	89	1029
8	92	933
9	96	865
10	98	796
11	100	737
12	103	694
13	106	653
14	109	618
15	112	588
16	114	560
17	117	536
18	120	513
19	123	492
20	125	472
21	127	453
22	130	437
23	133	421
24	136	408
25	139	395
26	142	386
27	147	378
28	150	367
29	154	360
30	159	354
31	166	353
32	182	369
33	185	360
34	206	383
35	218	388
36	229	390
37	238	388
38	243	380
39	246	370
40	252	362
41	256	353
42	258	342
43	263	334
44	268	327
45	280	328
46	293	330
47	311	337
48	314	327
49	318	318
50	321	308
51	324	299
52	327	290
53	330	281
54	336	275
55	348	273
56	351	265
57	356	258
58	360	250
59	363	242
60	365	233
61	367	225
62	369	217
63	372	209
64	374	201
65	377	194
66	381	188
67	385	181
68	388	174
69	392	168
70	395	161
71	398	154
72	401	148
73	405	142
74	408	136
75	412	130
76	418	124
77	425	120
78	429	114
79	432	108
80	436	102
81	439	96
82	442	90
83	445	84
84	448	79
85	451	73
86	454	67
87	457	62
88	459	56
89	462	51
90	466	46
91	474	41
92	477	35
93	481	30
94	491	25
95	499	20
96	520	16
97	531	10
98	536	5
99	540	0
