iter	RMSE
0	0.9468853165
1	0.9280816322
2	0.9128378025
3	0.9012485141
4	0.8900674116
5	0.8789638697
6	0.8700453565
7	0.862814607
8	0.8565070635
9	0.8496269624
10	0.8436377316
11	0.8382515462
12	0.8340468408
13	0.8303666664
14	0.8266227922
15	0.8231703561
16	0.8200553489
17	0.8172506827
18	0.8135809096
19	0.8105045597
20	0.8073905784
21	0.8044803338
22	0.8017940197
23	0.8013095434
24	0.7993743059
25	0.7980881892
26	0.7960661428
27	0.7944058041
28	0.7921365029
29	0.7910843712
30	0.7888176142
31	0.7867112223
32	0.7853999228
33	0.783840386
34	0.7827741284
35	0.7800502486
36	0.7785327881
37	0.7760481282
38	0.7752552935
39	0.7749132367
40	0.7741332459
41	0.7729408705
42	0.7717277272
43	0.770700904
44	0.7689534405
45	0.7680035965
46	0.7667707042
47	0.7651266685
48	0.7642618902
49	0.7633306915
50	0.7625401623
51	0.7616534987
52	0.7608371996
53	0.7594318003
54	0.7575229247
55	0.7566353429
56	0.7559226011
57	0.7554227847
58	0.7549324884
59	0.7541689398
60	0.7529098379
61	0.7525422804
62	0.7518754999
63	0.751458814
64	0.7513222623
65	0.7511407907
66	0.7506497603
67	0.7498187692
68	0.7494510967
69	0.7489778115
70	0.748713159
71	0.7484314805
72	0.7471204236
73	0.7464833006
74	0.7457608704
75	0.7450697727
76	0.7439718259
77	0.7428618499
78	0.7426797558
79	0.7424678722
80	0.7414479048
81	0.7408111287
82	0.7402946259
83	0.7392744266
84	0.7389547329
85	0.738753962
86	0.7385235402
87	0.7383331419
88	0.7368552404
89	0.7351986174
90	0.7344640945
91	0.7330913623
92	0.7323161463
93	0.7308613958
94	0.7299932304
95	0.7294709273
96	0.7293497559
97	0.7286798154
98	0.7284097403
99	0.727738268
100	0.7259532067
101	0.7249598767
102	0.7235031934
103	0.7231905991
104	0.7214634646
105	0.7207479259
106	0.720180222
107	0.7195479398
108	0.719190166
109	0.7179400503
110	0.7172759067
111	0.7162339948
112	0.7151799276
113	0.7142176869
114	0.713684711
115	0.7132104386
116	0.7126869341
117	0.712645879
118	0.712132471
119	0.7119672362
120	0.7111025811
121	0.7110408101
122	0.7109904033
123	0.710709385
124	0.7106818862
125	0.7104544484
126	0.7099808343
127	0.709716203
128	0.7096139889
129	0.7094635387
130	0.7092638765
131	0.7078687962
132	0.7078072216
133	0.7065979886
134	0.7065468561
135	0.7059974938
136	0.7052556597
137	0.7050978944
138	0.7041411381
139	0.7041004984
140	0.7033531757
141	0.7032968752
142	0.7031903822
143	0.7030162391
144	0.7029916357
145	0.7021520272
146	0.7017937558
147	0.7009070094
148	0.6998381849
149	0.6997470373
150	0.6991429947
151	0.6990935863
152	0.6983458037
153	0.697495641
154	0.6974553033
155	0.6965033605
156	0.6959513639
157	0.6959345342
158	0.6951398582
159	0.6945965664
160	0.6940482105
161	0.6933510276
162	0.6931145706
163	0.6924021021
164	0.6920772336
165	0.6915210323
166	0.6908441272
167	0.6901606801
168	0.6895661343
169	0.6887227216
170	0.6885058144
171	0.688215991
172	0.6878498426
173	0.687808089
174	0.6875252853
175	0.687436345
176	0.6874163793
177	0.6871281071
178	0.6869863389
179	0.6861215022
180	0.6856805477
181	0.6845666029
182	0.6843181413
183	0.6837871446
184	0.6837228647
185	0.6833829175
186	0.682948288
187	0.6826216976
188	0.6821858188
189	0.6821426472
190	0.6818451761
191	0.6808239264
192	0.6803704256
193	0.6800058721
194	0.6798393813
195	0.6795181387
196	0.6793907399
197	0.678344877
198	0.6780793601
199	0.6777754423
200	0.677588012
201	0.6771974312
202	0.6767467818
203	0.6763401519
204	0.675882858
205	0.6756693458
206	0.6756326427
207	0.6747899842
208	0.6747605776
209	0.6742064723
210	0.6732972264
211	0.6730805111
212	0.6726887203
213	0.6725118786
214	0.672128064
215	0.6720724273
216	0.6717056677
217	0.6713327812
218	0.6707642865
