iter	Passed	Remaining
0	162	162658
1	188	94005
2	215	71641
3	248	61902
4	276	54959
5	306	50751
6	333	47253
7	360	44727
8	387	42699
9	414	41002
10	441	39658
11	465	38354
12	491	37305
13	521	36737
14	552	36287
15	582	35809
16	613	35463
17	638	34842
18	663	34281
19	690	33823
20	722	33673
21	753	33516
22	783	33268
23	791	32204
24	821	32057
25	845	31658
26	868	31308
27	891	30956
28	922	30898
29	953	30815
30	979	30608
31	1003	30344
32	1035	30345
33	1061	30164
34	1090	30069
35	1125	30133
36	1152	30008
37	1180	29883
38	1204	29668
39	1226	29428
40	1249	29216
41	1272	29018
42	1298	28889
43	1326	28812
44	1355	28773
45	1379	28616
46	1404	28473
47	1430	28368
48	1455	28256
49	1481	28147
50	1509	28080
51	1537	28036
52	1562	27919
53	1587	27806
54	1615	27758
55	1644	27713
56	1674	27704
57	1703	27664
58	1731	27615
59	1759	27569
60	1786	27499
61	1810	27396
62	1837	27329
63	1865	27281
64	1892	27225
65	1916	27121
66	1936	26965
67	1959	26857
68	1985	26784
69	2009	26699
70	2039	26691
71	2067	26648
72	2095	26616
73	2125	26603
74	2153	26560
75	2181	26520
76	2213	26527
77	2240	26482
78	2273	26500
79	2300	26459
80	2331	26447
81	2358	26402
82	2398	26499
83	2425	26450
84	2458	26469
85	2487	26438
86	2524	26493
87	2550	26434
88	2580	26410
89	2608	26370
90	2639	26364
91	2671	26368
92	2702	26357
93	2730	26321
94	2756	26263
95	2785	26233
96	2815	26207
97	2847	26205
98	2880	26213
99	2914	26228
100	2944	26209
101	2977	26212
102	3011	26227
103	3043	26223
104	3083	26282
105	3115	26274
106	3143	26231
107	3168	26173
108	3196	26130
109	3224	26090
110	3255	26073
111	3288	26069
112	3316	26035
113	3343	25986
114	3372	25952
115	3400	25915
116	3423	25838
117	3452	25809
118	3483	25790
119	3511	25751
120	3538	25706
121	3563	25644
122	3586	25568
123	3611	25515
124	3654	25584
125	3686	25569
126	3718	25557
127	3756	25590
128	3789	25587
129	3813	25522
130	3842	25486
131	3874	25476
132	3900	25425
133	3940	25463
134	3966	25412
135	3993	25371
136	4024	25349
137	4055	25334
138	4087	25317
139	4114	25273
140	4141	25228
141	4164	25163
142	4190	25116
143	4219	25082
144	4246	25037
145	4288	25083
146	4320	25068
147	4347	25025
148	4386	25052
149	4411	25001
150	4440	24967
151	4469	24933
152	4513	24985
153	4539	24935
154	4564	24884
155	4590	24834
156	4618	24799
157	4652	24791
158	4682	24765
159	4709	24726
160	4736	24685
161	4762	24633
162	4787	24586
163	4814	24539
164	4860	24596
165	4893	24584
166	4921	24548
167	4948	24507
168	4976	24469
169	5001	24419
170	5029	24382
171	5061	24368
172	5097	24368
173	5126	24333
174	5152	24291
175	5178	24245
176	5205	24206
177	5236	24180
178	5268	24163
179	5299	24141
180	5329	24114
181	5356	24073
182	5383	24032
183	5410	23992
184	5444	23985
185	5475	23964
186	5505	23935
187	5533	23899
188	5560	23860
189	5587	23822
190	5615	23787
191	5646	23762
192	5677	23738
193	5705	23706
194	5737	23684
195	5764	23646
196	5806	23668
197	5835	23638
198	5867	23617
199	5897	23588
200	5924	23550
201	5951	23510
202	5982	23487
203	6012	23460
204	6041	23428
205	6068	23391
206	6103	23380
207	6135	23363
208	6161	23321
209	6190	23289
210	6218	23252
211	6244	23210
212	6274	23181
213	6304	23154
214	6334	23128
215	6365	23105
216	6391	23061
217	6416	23015
218	6442	22975
219	6467	22929
220	6499	22910
221	6530	22885
222	6566	22880
223	6593	22843
224	6621	22809
225	6652	22782
226	6680	22749
227	6712	22729
228	6744	22707
229	6777	22690
230	6805	22656
231	6831	22614
232	6856	22572
233	6882	22528
234	6926	22546
235	6954	22513
236	6981	22477
237	7008	22439
238	7038	22411
239	7067	22379
240	7098	22357
241	7129	22330
242	7162	22312
243	7191	22283
244	7222	22255
245	7249	22221
246	7278	22188
247	7311	22169
